Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths,Positivity Rate,Positivity Rate 3 Days Later
39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,737481,520.0,1.0,1.0,0.36538461538461536,0.36538461538461536
39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,737482,520.0,3.0,1.0,0.36538461538461536,0.36538461538461536
39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,737483,520.0,4.0,1.0,0.36538461538461536,0.36538461538461536
39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,737484,520.0,4.0,1.0,0.36538461538461536,0.36538461538461536
39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,737485,520.0,7.0,1.0,0.36538461538461536,0.36538461538461536
39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,737486,520.0,7.0,1.0,0.36538461538461536,0.36538461538461536
39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,737487,520.0,7.0,1.0,0.36538461538461536,0.36538461538461536
39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,737488,520.0,9.0,1.0,0.36538461538461536,0.36538461538461536
39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,737489,520.0,31.0,1.0,0.36538461538461536,0.36538461538461536
39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,737490,520.0,45.0,1.0,0.36538461538461536,0.36538461538461536
39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,737491,520.0,46.0,1.0,0.36538461538461536,0.36538461538461536
39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,737492,520.0,73.0,1.0,0.36538461538461536,0.36538461538461536
39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,737493,520.0,73.0,1.0,0.36538461538461536,0.36538461538461536
39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,737494,520.0,89.0,1.0,0.36538461538461536,0.36538461538461536
39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,737495,520.0,99.0,1.0,0.36538461538461536,0.32571428571428573
39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,737496,520.0,99.0,1.0,0.36538461538461536,0.5516666666666666
39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,737497,520.0,190.0,1.0,0.36538461538461536,1.034375
39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,737498,700.0,228.0,3.0,0.32571428571428573,1.034375
39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,737499,600.0,331.0,4.0,0.5516666666666666,1.034375
